,task,dataset_size,accuracy,f1_macro,ChatGPT Accuracy (if appl.),ChatGPT F1-macro (if appl.),accuracy_gpt4,f1_macro_gpt4,accuracy_gpt3_5,f1_macro_gpt3_5,deepseek,ChatGPT,type,sota,chat_gpt loss,deepseek loss
0,aggression,1000,57.57,52.9,"77,9","69,1",,,,,52.9,69.1,pragmatic,74.5,7.248322147651014,28.993288590604028
1,aggressionper,1000,68.64,64.6,"79,6","72,57",,,,,64.6,72.57,pragmatic,81.0,10.407407407407415,20.24691358024692
2,cola,1042,85.59,82.93,"80,8","78,11",,,,,85.59,80.8,semantic,86.4,6.481481481481492,0.9375000000000026
3,colbert,1000,84.5,84.47,"86,5","86,47",,,,,84.47,86.47,pragmatic,98.5,12.213197969543147,14.243654822335026
4,sarcasm,1000,48.95,48.95,50,"49,88",,,,,48.95,49.88,pragmatic,53.6,6.940298507462685,8.675373134328355
5,spam,1115,73.36,65.66,"89,8","82,67",,,,,65.66,82.67,pragmatic,99.4,16.83098591549296,33.94366197183099
6,wordcontext,638,63.32,59.92,"64,58","63,45",,,,,63.32,64.58,semantic,74.0,12.729729729729733,14.432432432432432
7,textentail,277,85.2,84.7,"88,09","87,88",90.61,90.49,,,84.7,87.88,semantic,92.1,4.581976112920738,8.034744842562423
8,wnli,71,88.73,88.62,"81,7","81,63",87.32,87.07,61.97,59.36,88.73,81.7,semantic,97.9,16.547497446373853,9.366700715015323
9,squad,1000,,,"56,5","69,21",,,,,,69.21,semantic,90.8,23.777533039647583,
10,mathqa,1000,95.9,90.54,"71,4",-,,,,,95.9,71.4,semantic,83.2,14.182692307692305,-15.264423076923078
11,clarinemo,1264,83.27,53.89,"83,5","53,23",,,,,53.89,53.23,pragmatic,68.0,21.72058823529412,20.75
12,goemo,1000,21.4,29.41,"19,9","25,55",,,,,29.41,25.55,pragmatic,52.8,51.60984848484848,44.299242424242415
13,goemoper0,1151,19.7,23.44,"19,5","23,74",,,,,23.44,23.74,pragmatic,54.5,56.440366972477065,56.99082568807339
14,goemoper1,1151,19.47,25.03,"21,58",19,,,,,25.03,19.0,pragmatic,66.1,71.25567322239031,62.13313161875945
15,goemoper2,1151,19.61,25.52,"22,66","20,34",,,,,25.52,20.34,pragmatic,66.1,69.22844175491679,61.39183055975795
16,goemoper3,1151,18.76,24.14,"23,58","23,41",,,,,24.14,23.41,pragmatic,66.1,64.58396369137671,63.47957639939485
17,unhealthy,1000,,,"64,01","45,21",,,,,,45.21,pragmatic,51.0,11.352941176470585,
18,unhealthyper,1000,,,"66,7","54,02",,,,,,54.02,pragmatic,70.9,23.80818053596615,
19,polemo,820,77.58,66.82,"71,4","44,08",,,,,66.82,44.08,pragmatic,76.4,42.30366492146598,12.539267015706821
20,tweetemoji,1666,27.34,20.7,"29,5","18,19",,,,,20.7,18.19,pragmatic,32.2,43.50931677018634,35.71428571428572
21,tweetsent,5143,59.87,58.93,"63,3","63,32",,,,,58.93,63.32,pragmatic,72.1,12.177531206657413,18.266296809986127
22,tweetstance,1249,68.59,63.49,"60,5","56,44",,,,,63.49,56.44,semantic,67.4,16.26112759643918,5.801186943620182
23,reading,1000,91.06,90.99,"76,36","76,34",,,,,90.99,76.34,semantic,84.7,9.870129870129869,-7.426210153482871
24,wsd,7253,78.37,77.23,-,"73,3",,,,,77.23,73.3,semantic,83.2,11.899038461538469,7.175480769230767
