task,dataset_size,accuracy,f1_macro,ChatGPT Accuracy (if appl.),ChatGPT F1-macro (if appl.),accuracy_gpt4,f1_macro_gpt4,accuracy_gpt3_5,f1_macro_gpt3_5
aggression,1000,57.57,52.9,"77,9","69,1",,,,
aggressionper,1000,68.64,64.6,"79,6","72,57",,,,
cola,1042,85.59,82.93,"80,8","78,11",,,,
colbert,1000,84.5,84.47,"86,5","86,47",,,,
sarcasm,1000,48.95,48.95,50,"49,88",,,,
spam,1115,73.36,65.66,"89,8","82,67",,,,
wordcontext,638,63.32,59.92,"64,58","63,45",,,,
textentail,277,85.2,84.7,"88,09","87,88",90.61,90.49,,
wnli,71,88.73,88.62,"81,7","81,63",87.32,87.07,61.97,59.36
squad,1000,,,"56,5","69,21",,,,
mathqa,1000,95.9,90.54,"71,4",-,,,,
clarinemo,1264,83.27,53.89,"83,5","53,23",,,,
goemo,1000,21.4,29.41,"19,9","25,55",,,,
goemoper0,1151,19.7,23.44,"19,5","23,74",,,,
goemoper1,1151,19.47,25.03,"21,58",19,,,,
goemoper2,1151,19.61,25.52,"22,66","20,34",,,,
goemoper3,1151,18.76,24.14,"23,58","23,41",,,,
unhealthy,1000,,,"64,01","45,21",,,,
unhealthyper,1000,,,"66,7","54,02",,,,
polemo,820,77.58,66.82,"71,4","44,08",,,,
tweetemoji,1666,27.34,20.7,"29,5","18,19",,,,
tweetsent,5143,59.87,58.93,"63,3","63,32",,,,
tweetstance,1249,68.59,63.49,"60,5","56,44",,,,
reading,1000,91.06,90.99,"76,36","76,34",,,,
wsd,7253,78.37,77.23,-,"73,3",,,,
